アイカツプラネット！,あいかつぷらねっと,2021年冬,SF,BN Pictures,"伊達花彩, 小椋梨央, 瑞季, 長尾寧音, 渡邊璃音, エイミー"
アイ★チュウ,あいちゅう,2021年冬,ファンタジー,Lay-duce,"KENN, 井口祐一, 豊永利行, 森久保祥太郎, 近藤隆, 花江夏樹"
IDOLY PRIDE,あいどるぷらいど,2021年冬,コメディ,Lerche,"神田沙也加, 橘美來, 菅野真衣, 結城萌子, 夏目ここな, 佐々木奈緒"
アイドールズ！,あいどーるず,2021年冬,バトル,シンエイ動画,"留冬藍名, 水野亜美, 花岡志織, 屋代瑠花, 神尾晋一郎"
アズールレーン びそくぜんしんっ！,あずーるれーんびそくぜんしんっ,2021年冬,恋愛,Yostar Pictures、studio CANDY BOX,"山根希美, 大地葉, 長縄まりあ, 阿部里果"
WIXOSS DIVA(A)LIVE,うぃくろすでぃーゔぁあらいぶ,2021年冬,スポーツ,J.C.STAFF,"福積沙耶, 白石晴香, 星ノ谷しずく, 西田望見, 広瀬ゆうき, 長谷川玲奈"
WAVE!!～サーフィンやっぺ!!～,うぇいぶさーふぃんやっぺ,2021年冬,青春,旭プロダクション,"前野智昭, 小笠原仁, 中島ヨシキ, 佐藤拓也, 白井悠介, 土岐隼一"
ウマ娘 プリティーダービー Season 2,うまむすめぷりてぃーだーびーしーずんつー,2021年冬,戦争,スタジオKAI,"Machico, 大西沙織, 和氣あず未, 高野麻里佳, 大橋彩香, 木村千咲"
裏世界ピクニック,いせかいぴくにっく,2021年冬,SF,ライデンフィルム、FelixFilm,"花守ゆみり, 茅野愛衣, 日高里菜, 富田美憂"
EX-ARM エクスアーム,えくすあーむ,2021年冬,ファンタジー,ビジュアルフライト,"斉藤壮馬, 小松未可子, 鬼頭明里"
SK∞ エスケーエイト,えすけーえいと,2021年冬,コメディ,ボンズ,"畠中祐, 小林千晃, 永塚拓馬, 三宅健太, 緑川光, 松本保典"
エビシー修業日記,えびしーしゅぎょうにっき,2021年冬,バトル,ファンワークス,"悠木碧, ヒロド歩美"
おかしなさばくのスナとマヌ,おかしなさばくのすなとぬま,2021年冬,恋愛,勝鬨スタジオ,"葉山翔太, 岩崎諒太"
おとなの防具屋さんll,おとなのぼうぐやさんつー,2021年冬,スポーツ,IMAGICA Lab.,"石井マーク, 東山奈央, 櫻井孝宏, 大森日雅, 小松未可子, たかはし智秋"
オルタンシア・サーガ,おるたんしあさーが,2021年冬,青春,ライデンフィルム,"細谷佳正, 堀江由衣, 津田健次郎, 上田麗奈, 内田彩, 梅原裕一郎"
俺だけ入れる隠しダンジョン,おれだけはいれるかくしだんじょん,2021年冬,戦争,オクルトノボル,"逢坂良太, 富田美憂, 大久保瑠美, 堀江由衣"
怪病医ラムネ,かいびょういらむね,2021年冬,SF,プラチナビジョン,"内田雄馬, 永塚拓馬, 植田佳奈, 岡本信彦, 諏訪部順一"
回復術士のやり直し,かいふくじゅつしのやりなおし,2021年冬,ファンタジー,ティー・エヌ・ケー,"保住有哉, 渋谷彩乃, 石上静香, 相川奈都姫, 高森奈津美, 津田美波"
キンタマーニドッグ,"きんたまーにどっぐ ",2021年冬,コメディ,勝鬨スタジオ,"蒼井翔太, くっきー！, 降幡愛, 森川智之"
蜘蛛ですが、なにか？,くもですがなにか,2021年冬,バトル,ミルパンセ,"悠木碧, 堀江瞬, 東山奈央, 石川界人, 小倉唯, 喜多村英梨"
怪物事変,かいぶつじへん,2021年冬,恋愛,亜細亜堂,"藤原夏海, 花江夏樹, 諏訪部順一, 村瀬歩, 小野大輔, 花澤香菜"
ゲキドル,げきどる,2021年冬,スポーツ,フッズエンタテインメント,"赤尾ひかる, 持田千妃来, 諏訪彩花, 花澤香菜, M・A・O, 山本希望"
五等分の花嫁∬,ごとうぶんのはなよめふらっと,2021年冬,青春,バイブリーアニメーションスタジオ,"松岡禎丞, 花澤香菜, 竹達彩奈, 伊藤美来, 佐倉綾音, 水瀬いのり"
SHOW BY ROCK!!STARS!!,しょうばいろっくすたーず,2021年冬,戦争,キネマシトラス,"遠野ひかる, 夏吉ゆうこ, 和多田美咲, 山根綺, 稲川英里, 上坂すみれ"
真・中華一番！（第2期）,しんちゅうかいちばん,2021年冬,SF,NAS,"藤原夏海, 茅野愛衣, 藤井ゆきよ, 中村悠一, 杉田智和, 榎木淳弥"
じみへんっ!!～地味子を変えちゃう純異性交遊～,じみへんっじみこをかえちゃうじゅんいせいこうゆう,2021年冬,ファンタジー,studio HōKIBOSHI,"風音, 河村眞人, 藤咲ウサ, 七篠響"
弱キャラ友崎くん,じゃくきゃらともざきくん,2021年冬,コメディ,project No.9,"佐藤元, 金元寿子, 長谷川育美, 茅野愛衣, 前川涼子, 稗田寧々"
